Dataset,Class,Images
PlantDoc,Tomato___Leaf_Mold,666
PlantDoc,Tomato___Septoria_leaf_spot,1240
PlantDoc,Tomato___Tomato_mosaic_virus,261
PlantDoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,3750
PlantDoc,Apple___Apple_scab,95
PlantDoc,Apple___Cedar_apple_rust,41
PlantDoc,Apple___healthy,247
PlantDoc,Blueberry___healthy,225
PlantDoc,Cherry___healthy,128
PlantDoc,Corn_(maize)___healthy,174
PlantDoc,Corn___Cercospora_leaf_spot,77
PlantDoc,Corn___Common_rust,179
PlantDoc,Corn___Northern_Leaf_Blight,148
PlantDoc,Grape___Black_rot,177
PlantDoc,Grape___Esca_(Black_Measles),208
PlantDoc,Grape___healthy,64
PlantDoc,Peach___healthy,54
PlantDoc,"Pepper,_bell___Bacterial_spot",150
PlantDoc,"Pepper,_bell___healthy",222
PlantDoc,Potato___Early_blight,150
PlantDoc,Potato___healthy,23
PlantDoc,Potato___Late_blight,150
PlantDoc,Raspberry___healthy,56
PlantDoc,Soybean___healthy,764
PlantDoc,Squash___Powdery_mildew,275
PlantDoc,Strawberry___healthy,69
PlantDoc,Tomato___Bacterial_spot,319
PlantDoc,Tomato___Early_blight,150
PlantDoc,Tomato___healthy,239
PlantDoc,Tomato___Late_blight,287
PlantDoc,Tomato___Leaf_Mold,143
PlantDoc,Tomato___Septoria_leaf_spot,266
PlantDoc,Tomato___Tomato_mosaic_virus,56
PlantDoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,804
PlantLab2Real,Apple___Apple_scab,630
PlantLab2Real,Apple___Black_rot,621
PlantLab2Real,Apple___Cedar_apple_rust,275
PlantLab2Real,Apple___healthy,1645
PlantLab2Real,Blueberry___healthy,1502
PlantLab2Real,Cherry_(including_sour)___healthy,854
PlantLab2Real,Cherry_(including_sour)___Powdery_mildew,1052
PlantLab2Real,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513
PlantLab2Real,Corn_(maize)___Common_rust_,1192
PlantLab2Real,Corn_(maize)___healthy,1162
PlantLab2Real,Corn_(maize)___Northern_Leaf_Blight,985
PlantLab2Real,Grape___Black_rot,1180
PlantLab2Real,Grape___Esca_(Black_Measles),1383
PlantLab2Real,Grape___healthy,423
PlantLab2Real,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
PlantLab2Real,Orange___Haunglongbing_(Citrus_greening),5507
PlantLab2Real,Peach___Bacterial_spot,2297
PlantLab2Real,Peach___healthy,360
PlantLab2Real,"Pepper,_bell___Bacterial_spot",997
PlantLab2Real,"Pepper,_bell___healthy",1478
PlantLab2Real,Potato___Early_blight,1000
PlantLab2Real,Potato___healthy,152
PlantLab2Real,Potato___Late_blight,1000
PlantLab2Real,Raspberry___healthy,371
PlantLab2Real,Soybean___healthy,5090
PlantLab2Real,Squash___Powdery_mildew,1835
PlantLab2Real,Strawberry___healthy,456
PlantLab2Real,Strawberry___Leaf_scorch,1109
PlantLab2Real,Tomato___Bacterial_spot,2127
PlantLab2Real,Tomato___Early_blight,1000
PlantLab2Real,Tomato___healthy,1591
PlantLab2Real,Tomato___Late_blight,1909
PlantLab2Real,Tomato___Leaf_Mold,952
PlantLab2Real,Tomato___Septoria_leaf_spot,1771
PlantLab2Real,Tomato___Spider_mites Two-spotted_spider_mite,1676
PlantLab2Real,Tomato___Target_Spot,1404
PlantLab2Real,Tomato___Tomato_mosaic_virus,373
PlantLab2Real,Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357
PlantLab2Real,Apple___Apple_scab,630
PlantLab2Real,Apple___Black_rot,621
PlantLab2Real,Apple___Cedar_apple_rust,275
PlantLab2Real,Apple___healthy,1645
PlantLab2Real,Blueberry___healthy,1502
PlantLab2Real,Cherry_(including_sour)___healthy,854
PlantLab2Real,Cherry_(including_sour)___Powdery_mildew,1052
PlantLab2Real,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513
PlantLab2Real,Corn_(maize)___Common_rust_,1192
PlantLab2Real,Corn_(maize)___healthy,1162
PlantLab2Real,Corn_(maize)___Northern_Leaf_Blight,985
PlantLab2Real,Grape___Black_rot,1180
PlantLab2Real,Grape___Esca_(Black_Measles),1383
PlantLab2Real,Grape___healthy,423
PlantLab2Real,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
PlantLab2Real,Orange___Haunglongbing_(Citrus_greening),5507
PlantLab2Real,Peach___Bacterial_spot,2297
PlantLab2Real,Peach___healthy,360
PlantLab2Real,"Pepper,_bell___Bacterial_spot",997
PlantLab2Real,"Pepper,_bell___healthy",1478
PlantLab2Real,Potato___Early_blight,1000
PlantLab2Real,Potato___healthy,152
PlantLab2Real,Potato___Late_blight,1000
PlantLab2Real,Raspberry___healthy,371
PlantLab2Real,Soybean___healthy,5090
PlantLab2Real,Squash___Powdery_mildew,1835
PlantLab2Real,Strawberry___healthy,456
PlantLab2Real,Strawberry___Leaf_scorch,1109
PlantLab2Real,Tomato___Bacterial_spot,2127
PlantLab2Real,Tomato___Early_blight,1000
PlantLab2Real,Tomato___healthy,1591
PlantLab2Real,Tomato___Late_blight,1909
PlantLab2Real,Tomato___Leaf_Mold,952
PlantLab2Real,Tomato___Septoria_leaf_spot,1771
PlantLab2Real,Tomato___Spider_mites Two-spotted_spider_mite,1676
PlantLab2Real,Tomato___Target_Spot,1404
PlantLab2Real,Tomato___Tomato_mosaic_virus,373
PlantLab2Real,Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357
PlantLab2Real,Apple___Apple_scab,630
PlantLab2Real,Apple___Black_rot,621
PlantLab2Real,Apple___Cedar_apple_rust,275
PlantLab2Real,Apple___healthy,1645
PlantLab2Real,Blueberry___healthy,1502
PlantLab2Real,Cherry_(including_sour)___healthy,854
PlantLab2Real,Cherry_(including_sour)___Powdery_mildew,1052
PlantLab2Real,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513
PlantLab2Real,Corn_(maize)___Common_rust_,1192
PlantLab2Real,Corn_(maize)___healthy,1162
PlantLab2Real,Corn_(maize)___Northern_Leaf_Blight,985
PlantLab2Real,Grape___Black_rot,1180
PlantLab2Real,Grape___Esca_(Black_Measles),1384
PlantLab2Real,Grape___healthy,423
PlantLab2Real,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
PlantLab2Real,Orange___Haunglongbing_(Citrus_greening),5507
PlantLab2Real,Peach___Bacterial_spot,2297
PlantLab2Real,Peach___healthy,360
PlantLab2Real,"Pepper,_bell___Bacterial_spot",997
PlantLab2Real,"Pepper,_bell___healthy",1478
PlantLab2Real,Potato___Early_blight,1000
PlantLab2Real,Potato___healthy,152
PlantLab2Real,Potato___Late_blight,1000
PlantLab2Real,Raspberry___healthy,371
PlantLab2Real,Soybean___healthy,5090
PlantLab2Real,Squash___Powdery_mildew,1835
PlantLab2Real,Strawberry___healthy,456
PlantLab2Real,Strawberry___Leaf_scorch,1109
PlantLab2Real,Tomato___Bacterial_spot,2127
PlantLab2Real,Tomato___Early_blight,1000
PlantLab2Real,Tomato___healthy,1591
PlantLab2Real,Tomato___Late_blight,1909
PlantLab2Real,Tomato___Leaf_Mold,952
PlantLab2Real,Tomato___Septoria_leaf_spot,1771
PlantLab2Real,Tomato___Spider_mites Two-spotted_spider_mite,1676
PlantLab2Real,Tomato___Target_Spot,1404
PlantLab2Real,Tomato___Tomato_mosaic_virus,373
PlantLab2Real,Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357
